language_iso	trans_ID	language_english	language_name	version	verses
aah	AA1WBT	Kalam	Kalam	WBT # 2008 Edition	7904
aah	AAHWBT	Kalam (Minimib)	Kalam (Minimib)	WBT # 2008 Edition	7904
aai	AAIWBT	Arifama-Miniafia	Arifama-Miniafia	WBT # 2009 Edition	7959
aak	AAKWBT	Ankave	Angave	WBT # 1990 Edition	7952
aau	AAUWBT	Abau	Abau	WBT # 2006 Edition	7947
abt	AB1AWV	Ambulas-Wosera-Kamu	Ambulas-Wosera-Kamu	AWV # 1996 Edition	7925
abi	ABIWBT	Abidji	Abidji	WBT # 2001 Edition	7925
abt	ABTAMV	Ambulas-Maprik	Ambulas-Maprik	AMV # 1983 Edition	7925
aby	ABYWBT	Aneme Wake	Aneme Wake	WBT # 1988 Edition	7855
ace	AC1IBS	Aceh	Aceh	IBS # 1997 Today's Aceh Version	30389
acc	ACCIBS	Achi de Cubulco	Achi de Cubulco	IBS # 1992 Edition	7930
acd	ACDWBT	Gikyode	Gikyode	WBT # 2001 Edition	7911
ach	ACHBSU	Acholi	Acholi	BSU # 1985 Edition	7957
acn	ACNBSM	Ngochang	Ngochang	BSM # 2004 Edition	7949
acr	ACRAEM	Achí	Achí	AEM # Pentateuch - AEM Version	5852
acr	ACRWB1	Achi	Achí	WB1 # 2009 Edition (Reformed)	7958
acr	ACRWBT	Achi	Achí	WBT # 2009 Edition (Traditional)	7958
acu	ACUTBL	Achuar-Shiwiar	Achuar-Shiwiar	TBL # 1994 Edition	7934
ade	ADETBL	Adele	Adele	TBL # 1996 Edition	7956
adh	ADHBSU	Dhopadhola	Dhopadhola	BSU # 2002 Edition	7959
adj	ADJWBT	Adioukrou	Adioukrou	WBT # 1998 Edition	7955
aeu	AEUWBT	Akeu	Akeu	WBT # WBT Version	7958
agd	AGDPNG	Agarabi	Agarabi	PNG # 2010 Edition	7958
agm	AGMWBT	Angaataha	Angaataha	WBT # 2004 Edition	7958
agn	AGNWPS	Agutaynen	Agutaynen	WPS # 2004 Edition	7955
agr	AGRTBL	Awajun	Awajun	TBL # 2005 Edition	7946
agu	AGUNVS	Aguacateco	Aguacateco	NVS # 1993 Edition	7935
ahk	AHKTBS	Akha 	Akha 	TBS # 2001 Edition	7928
aia	AIAWYI	Arosi	Arosi	WYI # 2004 Edition	7946
