language_iso	trans_ID	language_name	verses	source
aah	AA1WBT	Kalam	7904	API
aah	AAHWBT	Kalam (Minimib)	7904	API
aai	AAIWBT	Arifama-Miniafia	7959	API
aak	AAKWBT	Angave	7952	API
aau	AAUWBT	Abau	7947	API
abt	AB1AWV	Ambulas-Wosera-Kamu	7925	API
abi	ABIWBT	Abidji	7925	API
abt	ABTAMV	Ambulas-Maprik	7925	API
aby	ABYWBT	Aneme Wake	7855	API
ace	AC1IBS	Aceh	30389	API
acc	ACCIBS	Achi de Cubulco	7930	API
acd	ACDWBT	Gikyode	7911	API
ach	ACHBSU	Acholi	7957	API
acn	ACNBSM	Ngochang	7949	API
acr	ACRAEM	Achí	5852	API
acr	ACRWB1	Achí	7958	API
acr	ACRWBT	Achí	7958	API
acu	ACUTBL	Achuar-Shiwiar	7934	API
ade	ADETBL	Adele	7956	API
adh	ADHBSU	Dhopadhola	7959	API
adj	ADJWBT	Adioukrou	7955	API
aeu	AEUWBT	Akeu	7958	API
agd	AGDPNG	Agarabi	7958	API
agm	AGMWBT	Angaataha	7958	API
agn	AGNWPS	Agutaynen	7955	API
agr	AGRTBL	Awajun	7946	API
agu	AGUNVS	Aguacateco	7935	API
ahk	AHKTBS	Akha 	7928	API
aia	AIAWYI	Arosi	7946	API
aka	AK1BSG	Akan: Akuapem	7959	API
akb	AKBLAI	Batak Angkola	7958	API
ake	AKEBSS	Akawaio	7958	API
akh	AKHBSP	Angal Heneng	7931	API
akp	AKPWBT	Siwu	7959	API
alj	ALJOMF	Alangan	7923	API
alp	ALPWBT	Alune	7912	API
sqi	ALSABV	Shqip	31102	API
sqi	ALSBSA	Shqip	7958	API
alt	ALTIBT	Altai, Southern	7950	API
alz	ALZBSU	Alur	7957	API
amp	AM1WBT	Alamblak	7947	API
ame	AMETBL	Yanesha	7911	API
amf	AMFSIM	Banna	7954	API
amh	AMHEVG	Amharic	7944	API
amh	AMHSDV	Amharic	7957	API
amk	AMKWBT	Ambai	7954	API
amm	AMMWBT	Ama (Papua New Guinea)	7954	API
amn	AMNPNG	Amanab	7956	API
amr	AMRTBL	Amarakaeri	7897	API
amu	AMUMVR	Amuzgo de Guerrero	7947	API
ann	ANNWBT	Obolo	7956	API
anv	ANVWBT	Denya	7944	API
any	ANYWBT	Agni Sanvi	7959	API
aoj	AO1FIL	Filifita	7953	API
aoj	AOJWBT	Mufian	7953	API
aom	AOMWBT	Ömie	7940	API
aon	AONTBL	Arapesh Bumbita	7953	API
aoz	AOZLAI	Timor Dakwan	7953	API
ape	APEWBT	Bukiyip	7952	API
apr	APRWBT	Arop-Lokep	7957	API
apz	APZWBT	Safeyoka	7933	API
arb	ARBWTC	العربية	31103	API
arl	ARLTBL	Arabela	7955	API
arz	ARZVDV	العربية	31102	API
asg	ASGWBT	Cishingini	7955	API
aso	ASOTBL	Dano	7911	API
atb	ATBBSM	Zaiwa	7959	API
atg	ATGWYI	Okphela	7958	API
atq	ATQLAI	Aralle-Tabulahan	7942	API
auy	AUYWBT	Awiyaana	7932	API
ava	AVAIBT	Avar	7952	API
avn	AVNWBT	Sideme	7957	API
avt	AVTWBT	Au	7955	API
avu	AVUWBT	Avokaya	7593	API
awa	AWAWTC	Awadhi	7910	API
awb	AWBTBL	Awa for Papua New Guinea	7958	API
ayr	AYMBSB	Aymara, Central	30700	API
ayr	AYMSBU	Aymara, Central	7958	API
ayp	AYPABT	North Mesopotamian Arabic	7958	API
azb	AZBEMV	Azərbaycan, Cənubi	31103	API
azg	AZGTBL	San Pedro Amuzgo	7957	API
azz	AZZTBL	Nahuatl, Highland Puebla	7947	API
bak	BAKIBT	Bashkir	7940	API
ban	BANIBS	Balinese	7944	API
bao	BAOWBT	Waimaja	8010	API
bav	BAVWBT	Babungo	7957	API
bba	BBABSB	Bariba	30920	API
bbo	BBOBSB	Bobo Madaré, Northern	7956	API
bbr	BBRWBT	Girawa	7923	API
bcl	BCLBPV	Bicolano, Central	7938	API
bcw	BCWWBT	Bana	7898	API
bdd	BDDWBT	Bunama	7939	API
